job_id,execution_time,base_data_model,judge_model
local_run,5,gpt-4.1,gemini-2.5-flash
local_run,0,gpt-4.1,gemini-2.5-flash
local_run,7,gpt-4.1,gemini-2.5-flash
local_run,27,gpt-4.1,gemini-2.5-flash
local_run,7,gpt-4.1,gemini-2.5-flash
local_run,26,gpt-4.1,gemini-2.5-flash
local_run,0,gpt-4.1,gemini-2.5-flash
local_run,7,gpt-4.1,gemini-2.5-flash
local_run,27,gpt-4.1,gemini-2.5-flash
local_run,8,gpt-4.1,gemini-2.5-flash
local_run,24,gpt-4.1,gemini-2.5-flash
local_run,7,gpt-4.1,gemini-2.5-flash
local_run,29,gpt-4.1,gemini-2.5-flash
local_run,7,gpt-4.1,gemini-2.5-flash
local_run,0,gpt-4.1,gemini-2.5-flash
local_run,27,gpt-4.1,gemini-2.5-flash
local_run,9,gpt-4.1,gemini-2.5-flash
local_run,26,gpt-4.1,gemini-2.5-flash
local_run,8,gpt-4.1,gemini-2.5-flash
local_run,31,gpt-4.1,gemini-2.5-flash
local_run,6,gpt-4.1,gemini-2.5-flash
local_run,30,gpt-4.1,gemini-2.5-flash
local_run,7,gpt-4.1,claude-haiku-4-5-20251001
local_run,28,gpt-4.1,claude-haiku-4-5-20251001
local_run,8,gpt-4.1,claude-haiku-4-5-20251001
local_run,27,gpt-4.1,claude-haiku-4-5-20251001
local_run,9,gpt-4.1,claude-haiku-4-5-20251001
local_run,28,gpt-4.1,claude-haiku-4-5-20251001
local_run,10,gpt-4.1,claude-haiku-4-5-20251001
local_run,31,gpt-4.1,claude-haiku-4-5-20251001
local_run,9,gpt-4.1,claude-haiku-4-5-20251001
local_run,32,gpt-4.1,claude-haiku-4-5-20251001
local_run,9,gpt-4.1,claude-haiku-4-5-20251001
local_run,32,gpt-4.1,claude-haiku-4-5-20251001
local_run,8,gpt-4.1,claude-haiku-4-5-20251001
local_run,33,gpt-4.1,claude-haiku-4-5-20251001
local_run,8,gpt-4.1,claude-haiku-4-5-20251001
local_run,32,gpt-4.1,claude-haiku-4-5-20251001
local_run,8,gpt-4.1,claude-opus-4-5-20251101
local_run,26,gpt-4.1,claude-opus-4-5-20251101
local_run,13,gpt-4.1,claude-opus-4-5-20251101
local_run,34,gpt-4.1,claude-opus-4-5-20251101
local_run,12,gpt-4.1,claude-opus-4-5-20251101
local_run,34,gpt-4.1,claude-opus-4-5-20251101
local_run,8,gpt-4.1,claude-opus-4-5-20251101
local_run,36,gpt-4.1,claude-opus-4-5-20251101
local_run,8,gpt-4.1,claude-opus-4-5-20251101
local_run,23,gpt-4.1,claude-opus-4-5-20251101
local_run,10,gpt-4.1,claude-opus-4-5-20251101
local_run,31,gpt-4.1,claude-opus-4-5-20251101
local_run,7,gpt-4.1,claude-opus-4-5-20251101
local_run,36,gpt-4.1,claude-opus-4-5-20251101
local_run,10,gpt-4.1,claude-opus-4-5-20251101
local_run,38,gpt-4.1,claude-opus-4-5-20251101
local_run,7,gpt-4.1,gemini-2.5-pro
local_run,38,gpt-4.1,gemini-2.5-pro
local_run,9,gpt-4.1,gemini-2.5-pro
local_run,36,gpt-4.1,gemini-2.5-pro
local_run,5,gpt-4.1,gemini-2.5-pro
local_run,79,gpt-4.1,gemini-2.5-pro
local_run,6,gpt-4.1,gemini-2.5-pro
local_run,44,gpt-4.1,gemini-2.5-pro
local_run,5,gpt-4.1,gemini-2.5-pro
local_run,40,gpt-4.1,gemini-2.5-pro
local_run,4,gpt-4.1,gemini-2.5-pro
local_run,39,gpt-4.1,gemini-2.5-pro
local_run,5,gpt-4.1,gemini-2.5-pro
local_run,42,gpt-4.1,gemini-2.5-pro
local_run,4,gpt-4.1,gemini-2.5-pro
local_run,49,gpt-4.1,gemini-2.5-pro
